nome,local,descricao
Engenheiro de Software Sr (.NET Core e/ou Node.js),São Paulo,"Somos uma das melhores empresas para trabalhar pelo GPTW, por isso, buscamos os melhores talentos porque acreditamos que só com pessoas incríveis entregamos resultados incríveis.


Atualmente estamos com oportunidade para Engenheiro de Software Sr (.NET Core e/ou Node.js).


Descrição das atividades


Skill Técnico solicitado: Ser proativo e ter boa comunicação com o time; -Fluência nas linguagens de programação .NET Core e/ou Node.js; -Experiência em times ágeis (SCRUM ou Kanban); -Experiência com Design Patterns; -Experiência em desenvolvimento de APIs; -Experiência com Unit Test para .NET e/ou Node.js; -Experiência com desenvolvimento de aplicações conteinerizadas de alta disponibilidade (ECS ou Kubernetes); -Experiência com armazenamento de dados NoSQL (DynamoDB ou outro) -Experiência com Cloud AWS; -Experiência em desenvolvimento e uso de serverless (AWS Lambdas) -Conhecimentos em tecnologias como S3, ELB, Api Gateway; -Conhecimento de CI e CD; -Capacidade de análise de monitorias usando CloudWatch/Grafana. Você fica em evidência com: -Experiência com Streaming ou mensageria (SQS ou outro) ou -Experiência com ElasticSearch ou outro sistema de analytics/searches ou -Experiência com Redis e/ou outro sistema de cache ou -Experiência com linguagem de programação Typescript ou -Experiência com arquitetura de software visando estabilidade, performance e escalabilidade ou -Conhecimentos de DevOps."
Analista SOA.,São Paulo,"Somos uma das melhores empresas para trabalhar pelo GPTW, por isso, buscamos os melhores talentos porque acreditamos que só com pessoas incríveis entregamos resultados incríveis.


E aí, topa transformar ideias em potência com propósito de impactar a sociedade com a gente? Então faça parte de uma empresa que tem seus processos guiados por seus valores, valoriza seus colaboradores, sempre pensando no desenvolvimento profissional de cada um. E disponibiliza ambientes descontraídos, para que todos se sintam respeitados, acolhidos e acima de tudo: felizes.


Atualmente estamos com oportunidade para Analista SOA.


Descrição das atividades


Skill Técnico solicitado: Linguagem orientada a Objetos (Java/.NET); PHP; JavaScript; BIG MACHINE LANGUAGE (BML) para Oracle CPQ Cloud; Integrações envolvendo SOAP/REST; Linux (Intermediário) de acesso a arquivos, logs e monitoramento; SOA/Oracle e integrações envolvendo WebLogic (OSB/ESS); Oracle Service Cloud (OSvC/Right Now). Nossos Diferencias: • Acompanhamento e desenvolvimento de carreira • Programa de pontos onde você escolhe seus benefícios (Plano de saúde, odontológico, vale alimentação, vale refeição, seguro de vida). • Treinamento e capacitação • Portal de conhecimentos e práticas • COP (Comunidade de Prática) • Clube de vantagens Lincard (Em casos de PJ ) • E muito mais….


Dê um play em sua carreira! #VemSerCadmus."
Desenvolvedor RPA,Home Office,"Somos uma das melhores empresas para trabalhar pelo GPTW, por isso, buscamos os melhores talentos porque acreditamos que só com pessoas incríveis entregamos resultados incríveis.


Atualmente estamos com oportunidade para Desenvedor RPA


Descrição das atividades


O que você terá que fazer: Mapear processos para automação juntamente com a área de negócio; Desenvolver automações RPA usando Power Automate; Dar sustentação e/ou aprimorar automações já existentes; Desenvolver rotinas de manipulação de dados vindos de planilhas, pdf, txt e etc; Homologação de tarefas automatizadas junto aos usuários; Obrigatório: Experiência com Power Automate; Conhecimentos sobre RPA; Desejável: Experiência com Python; Conhecimento em desenho de processos de automação e especificações técnicas; Diferencial: Certificação Power Automate (PL-900) ou conhecimento comprovado Experiência com outras ferramentas de automação (UiPath, Automation Edge, Etc); Home Office – Tempo Indeterminado


Nossos Diferencias: • Acompanhamento e desenvolvimento de carreira • Programa de pontos onde você escolhe seus benefícios (Plano de saúde, odontológico, vale alimentação, vale refeição, seguro de vida). • Treinamento e capacitação • Portal de conhecimentos e práticas • COP (Comunidade de Prática) • Clube de vantagens Lincard (Em casos de PJ ) • E muito mais….


Dê um play em sua carreira! #VemSerCadmus."
Desenvolvedor FontEnd React,Home Office,"Somos uma das melhores empresas para trabalhar pelo GPTW, por isso, buscamos os melhores talentos porque acreditamos que só com pessoas incríveis entregamos resultados incríveis.


Atualmente estamos com oportunidade para Desenvolvedor FrontEnd React


Descrição das atividades


O que você precisa ter: - Sólidos conhecimentos técnicos em React - Sólidos conhecimentos técnicos em NextJS - Sólidos conhecimentos técnicos em Node - Experiência atuando com React em projetos grandes - Conhecimentos em GraphQL - Conhecimentos sobre arquitetura e boas práticas de desenvolvimento web - Noções sobre ambientes AWS


Skill Técnico solicitado: - Atuação em projetos de E-Commerce - Conhecimentos em React Native - Conhecimentos em Java (spring e springboot) - Conhecimentos em Kubernetes - Conhecimentos em PostgreSQL - Conhecimentos em Apache Cassandra - Conhecimentos/especializações em UI/UX


Nossos Diferencias: • Acompanhamento e desenvolvimento de carreira • Programa de pontos onde você escolhe seus benefícios (Plano de saúde, odontológico, vale alimentação, vale refeição, seguro de vida). • Treinamento e capacitação • Portal de conhecimentos e práticas • COP (Comunidade de Prática) • Clube de vantagens Lincard (Em casos de PJ ) • E muito mais….


Dê um play em sua carreira! #VemSerCadmus."
Analista de Processos RPA,Home Office,"Somos uma das melhores empresas para trabalhar pelo GPTW, por isso, buscamos os melhores talentos porque acreditamos que só com pessoas incríveis entregamos resultados incríveis.


Atualmente estamos com oportunidade para Analista de Processos RPA


Descrição das atividades


O que você precisa ter: Mapear processos para automação juntamente com as áreas de negócio (AS-IS x TO-BE); Redigir documentação técnica de processos (PDD); Apoiar no pré venda de soluções RPA (reunião com clientes, elaboração de propostas, etc). Obrigatório: Experiência em mapeamento e modelagem de processos; Criação e manipulação de apresentações PowerPoint (.pptx) de qualidade visual; Conhecimentos em ferramentas de mapeamento de processos (ex: Bizagi, Visio, etc); Domínio da língua portuguesa e excelente comunicação oral e escrita. Desejável: Conhecimento em automação de processos RPA. Diferencial: Conhecimento em ferramentas de automação RPA (AutomationEdge, UiPath, etc Home Office – Tempo Indeterminado


Nossos Diferencias: • Acompanhamento e desenvolvimento de carreira • Programa de pontos onde você escolhe seus benefícios (Plano de saúde, odontológico, vale alimentação, vale refeição, seguro de vida). • Treinamento e capacitação • Portal de conhecimentos e práticas • COP (Comunidade de Prática) • Clube de vantagens Lincard (Em casos de PJ ) • E muito mais….


Dê um play em sua carreira! #VemSerCadmus."
Analista de NOC Jr III,São Paulo,"Somos uma das melhores empresas para trabalhar pelo GPTW, por isso, buscamos os melhores talentos porque acreditamos que só com pessoas incríveis entregamos resultados incríveis.


E aí, topa transformar ideias em potência com propósito de impactar a sociedade com a gente? Então faça parte de uma empresa que tem seus processos guiados por seus valores, valoriza seus colaboradores, sempre pensando no desenvolvimento profissional de cada um. E disponibiliza ambientes descontraídos, para que todos se sintam respeitados, acolhidos e acima de tudo: felizes.


Atualmente estamos com oportunidade para Analista de NOC Jr III


Descrição das atividades


Skill Técnico solicitado: Ao mínimo 2 anos de experiência atuando no noc; Conhecimentos em Zabbix, Jira, Grafana e Solarwinds; Vivência em servidores Windows; Inglês Nível Intermediário. Diferencial: Conhecimentos em servidores Linux.


Nossos Diferencias: • Acompanhamento e desenvolvimento de carreira • Programa de pontos onde você escolhe seus benefícios (Plano de saúde, odontológico, vale alimentação, vale refeição, seguro de vida). • Treinamento e capacitação • Portal de conhecimentos e práticas • COP (Comunidade de Prática) • Clube de vantagens Lincard (Em casos de PJ ) • E muito mais….


Dê um play em sua carreira! #VemSerCadmus."
Dev Peoplesoft - ERP,São Paulo,"Somos uma das melhores empresas para trabalhar pelo GPTW, por isso, buscamos os melhores talentos porque acreditamos que só com pessoas incríveis entregamos resultados incríveis.


E aí, topa transformar ideias em potência com propósito de impactar a sociedade com a gente? Então faça parte de uma empresa que tem seus processos guiados por seus valores, valoriza seus colaboradores, sempre pensando no desenvolvimento profissional de cada um. E disponibiliza ambientes descontraídos, para que todos se sintam respeitados, acolhidos e acima de tudo: felizes.


Atualmente estamos com oportunidade para Dev Peoplesoft - ERP


Descrição das atividades


Skill Técnico solicitado: Application Designer, PeopleCode, Application Engine, Application Messaging, Component Interface, XML Publisher, SQR, Query, WorkFlow AWE, Component Interface, Application Package, Data Mover, File Layout, Programação PL/SQL. Conhecimento funcional desejável nos módulos do ERP Peoplesoft: o BI, AR, PO, AP, GL, TR, AM.


Nossos Diferencias: • Acompanhamento e desenvolvimento de carreira • Programa de pontos onde você escolhe seus benefícios (Plano de saúde, odontológico, vale alimentação, vale refeição, seguro de vida). • Treinamento e capacitação • Portal de conhecimentos e práticas • COP (Comunidade de Prática) • Clube de vantagens Lincard (Em casos de PJ ) • E muito mais….


Dê um play em sua carreira! #VemSerCadmus."
Desenvolvedor BackEnd Java - Springboot,Home Office,"Somos uma das melhores empresas para trabalhar pelo GPTW, por isso, buscamos os melhores talentos porque acreditamos que só com pessoas incríveis entregamos resultados incríveis.


Atualmente estamos com oportunidade para Desenvolvedor Back End Java – Springboot


Descrição das atividades


O que você terá que fazer: Atuar com a sustentação de APIs em Java 11 utilizando Springboot que estão publicadas na AWS como lambdas. - Desenvolver novas APIs em Java com springboot e publicá-las na AWS como lambdas.


Skill Técnico solicitado Necessário: - Experiência construindo e mantendo aplicações criadas em Java 8+ com Springboot. - Experiência utilizando o console da AWS. - Conhecimentos em OpenApi. - Conhecimentos em Lambdas (AWS). - Conhecimentos em API Gateway (AWS). Interessante: - Experiência com configuração de recursos da AWS. - Experiência criando ou mantendo aplicações Java com OpenApi. - Experiência com JSF. - Conhecimentos em Angular 6+. - Conhecimentos em testes unitários. Experiência: - Mínimo de 3 anos atuando na área de desenvolvimento. - Mínimo de 2 anos atuando com Springboot.


Dê um play em sua carreira! #VemSerCadmus."
Desenvolvedor FullStack,São Paulo,"Somos uma das melhores empresas para trabalhar pelo GPTW, por isso, buscamos os melhores talentos porque acreditamos que só com pessoas incríveis entregamos resultados incríveis.


E aí, topa transformar ideias em potência com propósito de impactar a sociedade com a gente? Então faça parte de uma empresa que tem seus processos guiados por seus valores, valoriza seus colaboradores, sempre pensando no desenvolvimento profissional de cada um. E disponibiliza ambientes descontraídos, para que todos se sintam respeitados, acolhidos e acima de tudo: felizes.


Atualmente estamos com oportunidade para Desenvolvedor FullStack


Nossos Diferencias: • Acompanhamento e desenvolvimento de carreira • Programa de pontos onde você escolhe seus benefícios (Plano de saúde, odontológico, vale alimentação, vale refeição, seguro de vida). • Treinamento e capacitação • Portal de conhecimentos e práticas • COP (Comunidade de Prática) • Clube de vantagens Lincard (Em casos de PJ ) • E muito mais….


Dê um play em sua carreira! #VemSerCadmus."
Analista Desenvolvedor Java Web Pleno,Home Office,"Somos uma das melhores empresas para trabalhar pelo GPTW, por isso, buscamos os melhores talentos porque acreditamos que só com pessoas incríveis entregamos resultados incríveis.


Atualmente estamos com oportunidade para Analista Desenvolvedor Java Web Pleno


Descrição das atividades


O que você precisa ter: - Experiência com Java Web utilizando JSF. - Experiência com Java Web utilizando Springboot. - Experiência utilizando alguma ferramenta de CI/CD (Jenkins, Gitlab CI, etc). - Experiência com ambientes Linux para publicação e consultas.


O que você terá que fazer: - Análise e correção de problemas em aplicações Java Web utilizando principalmente JSF como principal estrutura. - Análise e correção de problemas em aplicações Java Web utilizando Springboot e Angular como principais estruturas.


Skill Técnico solicitado: Diferenciais: - Experiência com Angular 6+. - Experiência com a configuração do Jenkins. - Experiência com a configuração do Sonar Qube. - Experiência com configurações de ambientes Linux.





Dê um play em sua carreira! #VemSerCadmus."
Desenvolvedor RPA Phyton,Home Office,"Somos uma das melhores empresas para trabalhar pelo GPTW, por isso, buscamos os melhores talentos porque acreditamos que só com pessoas incríveis entregamos resultados incríveis.


E aí, topa transformar ideias em potência com propósito de impactar a sociedade com a gente? Então faça parte de uma empresa que tem seus processos guiados por seus valores, valoriza seus colaboradores, sempre pensando no desenvolvimento profissional de cada um. E disponibiliza ambientes descontraídos, para que todos se sintam respeitados, acolhidos e acima de tudo: felizes.


Atualmente estamos com oportunidade para Desenvolvedor RPA Phyton


Descrição das atividades


O que você terá que fazer: Desenvolver automações RPA utilizando Python; Dar sustentação e/ou aprimorar automações já existentes; Desenvolver rotinas de manipulação de dados vindos de planilhas, pdf, txt e etc; Homologação de tarefas automatizadas junto aos usuários;


Skill Técnico solicitado: Experiência com Python; Conhecimentos sobre RPA; Desejável: Conhecimento em Flask e Git Conhecimento em mapas de processo BPM; Diferencial: Conhecimento em bibliotecas de automação python (Selenium, PyWinAuto e PyAutoGUI) Experiência com outras ferramentas de automação (UiPath, Automation Edge, Etc);


Nossos Diferencias: • Acompanhamento e desenvolvimento de carreira • Programa de pontos onde você escolhe seus benefícios (Plano de saúde, odontológico, vale alimentação, vale refeição, seguro de vida). • Treinamento e capacitação • Portal de conhecimentos e práticas • COP (Comunidade de Prática) • Clube de vantagens Lincard (Em casos de PJ ) • E muito mais….


Dê um play em sua carreira! #VemSerCadmus."
